age,sex,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
29,women,1719001,1743844,1759911,1763931,1759440,1754005,1746841,1738504,1730245,1722036,1711148,1696212,1688520,1692906,1703688,1712147,1722017,1717345,1690023,1648319,1615216,1551814,1525748,1510035,1503852,1484889,1446903,1435047,1424943,1403673,1407250,1411996,1408098,1426952,1456190,1426421,1415329,1440784,1432559,1423646,1413743,1402381,1389703,1376551,1363018,1349282,1335559,1321714,1308174,1295304,1282587
30,women,1692130,1717425,1742293,1758384,1762439,1757996,1752619,1745584,1737429,1729208,1720981,1710076,1695122,1687403,1691774,1702573,1711050,1720941,1716292,1689002,1647341,1614276,1550928,1524884,1509193,1503030,1484084,1446133,1434300,1424213,1402966,1406549,1411310,1407424,1426276,1455510,1425763,1414685,1440134,1431919,1423019,1413128,1401774,1389106,1375962,1362443,1348716,1335001,1321171,1307639,1294778
31,women,1664448,1690337,1715654,1740547,1756668,1760771,1756388,1751142,1744246,1736125,1727897,1719671,1708767,1693815,1686106,1690500,1701317,1709811,1719718,1715097,1687849,1646233,1613206,1549919,1523904,1508244,1502098,1483172,1445255,1433442,1423377,1402163,1405758,1410529,1406657,1425508,1454734,1425012,1413945,1439390,1431185,1422302,1412416,1401080,1388420,1375292,1361783,1348070,1334361,1320547,1307025
32,women,1631886,1662685,1688600,1713937,1738855,1755010,1759165,1754909,1749796,1742933,1734816,1726587,1718356,1707446,1692516,1684841,1689251,1700086,1708600,1718523,1713928,1686717,1645145,1612159,1548930,1522944,1507312,1501181,1482280,1444399,1432605,1422558,1401369,1404975,1409752,1405902,1424755,1453968,1424275,1413220,1438660,1430464,1421597,1411713,1400393,1387746,1374632,1361130,1347431,1333730,1319927
33,women,1593718,1630169,1660981,1686914,1712270,1737212,1753408,1757688,1753562,1748485,1741616,1733502,1725267,1717037,1706138,1691244,1683600,1688036,1698888,1707419,1717352,1712781,1685606,1644083,1611133,1547959,1521999,1506392,1500280,1481397,1443551,1431777,1421753,1400589,1404203,1408989,1405148,1424005,1453212,1423540,1412500,1437935,1429749,1420894,1411021,1399713,1387076,1373976,1360484,1346794,1333106
34,women,1552480,1592040,1628496,1659320,1685274,1710659,1735629,1751938,1756346,1752247,1747162,1740296,1732179,1723935,1715725,1704858,1690003,1682380,1686841,1697709,1706258,1716202,1711649,1684509,1643035,1610121,1547002,1521070,1505484,1499388,1480528,1442719,1430963,1420954,1399817,1403440,1408236,1404405,1423259,1452466,1422812,1411785,1437217,1429041,1420197,1410333,1399041,1386413,1373323,1359840,1346159
35,women,1510490,1550550,1590111,1626574,1657411,1683384,1708807,1733858,1750279,1754726,1750635,1745548,1738695,1730583,1722354,1714186,1703353,1688541,1680947,1685433,1696310,1704880,1714841,1710309,1683208,1641788,1608919,1545863,1519954,1504393,1498320,1479481,1441712,1429979,1419986,1398884,1402513,1407322,1403506,1422358,1451554,1421927,1410909,1436337,1428172,1419344,1409488,1398209,1385591,1372517,1359050
36,women,1466152,1508315,1548380,1587940,1624400,1655259,1681261,1706766,1731910,1748348,1752804,1748731,1743649,1736816,1728734,1720544,1712420,1701626,1686863,1679307,1683818,1694703,1703286,1713267,1708760,1681698,1640341,1607516,1544534,1518663,1503120,1497078,1478260,1440539,1428827,1418856,1397793,1401424,1406247,1402444,1421296,1450478,1420894,1409882,1435294,1427144,1418334,1408490,1397221,1384624,1371564
37,women,1430958,1464048,1506201,1546267,1585830,1622292,1653171,1679258,1704853,1730008,1746439,1750898,1746838,1741765,1734963,1726925,1718775,1710688,1699941,1685215,1677695,1682224,1693131,1701725,1711718,1707239,1680217,1638919,1606135,1543221,1517386,1501872,1495857,1477056,1439380,1427693,1417744,1396717,1400355,1405190,1401395,1420248,1449412,1419863,1408869,1434265,1426129,1417331,1407503,1396246,1383660
38,women,1410505,1428906,1462002,1504149,1544209,1583778,1620249,1651208,1677375,1702980,1728122,1744544,1749007,1744956,1739910,1733148,1725158,1717039,1708991,1698287,1683597,1676113,1680659,1691580,1700189,1710195,1705736,1678754,1637516,1604776,1541928,1516125,1500638,1494645,1475870,1438231,1426567,1416642,1395644,1399293,1404141,1400356,1419211,1448358,1418833,1407862,1433246,1425117,1416333,1406517,1395280
39,women,1399476,1408485,1426918,1460014,1502153,1542208,1581789,1618326,1649365,1675539,1701124,1726247,1742659,1747127,1743096,1738093,1731367,1723419,1715339,1707330,1696665,1682007,1674553,1679125,1690058,1698671,1708692,1704256,1677312,1636128,1603435,1540659,1514882,1499424,1493449,1474698,1437098,1425452,1415551,1394585,1398240,1403095,1399322,1418180,1447313,1417822,1406859,1432232,1424113,1415343,1405546
40,women,1386670,1396995,1406046,1424502,1457600,1499727,1539780,1579400,1615998,1647044,1673202,1698776,1723884,1740286,1744781,1740793,1735836,1729158,1721251,1713217,1705254,1694630,1680021,1672599,1677189,1688139,1696764,1706796,1702389,1675491,1634371,1601732,1539040,1513301,1497872,1491919,1473200,1435650,1424034,1414153,1393227,1396890,1401756,1397996,1416845,1445959,1416509,1405563,1430922,1422819,1414057
41,women,1373995,1383714,1394087,1403193,1421671,1454774,1496887,1536963,1576617,1613204,1644231,1670379,1695941,1721037,1737452,1741986,1738051,1733149,1726516,1718662,1710678,1702765,1692191,1677630,1670250,1674863,1685825,1694465,1704508,1700135,1673291,1632246,1599677,1537079,1511380,1495990,1490063,1471376,1433885,1422297,1412449,1391567,1395238,1400120,1396379,1415214,1444304,1414900,1403971,1429310,1421226
42,women,1359337,1371063,1380837,1391250,1400409,1418914,1452021,1494160,1534267,1573900,1610450,1641458,1667591,1693140,1718236,1734675,1739249,1735362,1730506,1723919,1716120,1708185,1700314,1689789,1675281,1667942,1672578,1683547,1692199,1702247,1697906,1671119,1630146,1597638,1535140,1509481,1494128,1488225,1469577,1432145,1420584,1410764,1389926,1393602,1398495,1394770,1413599,1442661,1413306,1402395,1427712
43,women,1340415,1356444,1368211,1378037,1388489,1397702,1416230,1449375,1491546,1531627,1571226,1607740,1638723,1664843,1690387,1715489,1731953,1736561,1732722,1727915,1721368,1713619,1705731,1697906,1687421,1672961,1665657,1670318,1681297,1689963,1700019,1695709,1668974,1628072,1595624,1533221,1507603,1492287,1486405,1467789,1430412,1418886,1409094,1388293,1391984,1396881,1393177,1411993,1441032,1411719,1400830
44,women,1318275,1337574,1353633,1365438,1375311,1385807,1395071,1413662,1446838,1488988,1529029,1568587,1605075,1636025,1662136,1687689,1712793,1729286,1733919,1730122,1725365,1718860,1711153,1703307,1695527,1685089,1670676,1663406,1668087,1679072,1687749,1697813,1693530,1666845,1626016,1593636,1531319,1505745,1490456,1484599,1466021,1428696,1417193,1407437,1386672,1390370,1395275,1391592,1410400,1439414,1410140
45,women,1296576,1314722,1334042,1350137,1361990,1371917,1382462,1391819,1410475,1443631,1485727,1525722,1565224,1601681,1632606,1658718,1684273,1709376,1725890,1730558,1726816,1722113,1715663,1708009,1700216,1692480,1682101,1667742,1660516,1665219,1676212,1684897,1694969,1690720,1664101,1623350,1591058,1528855,1503331,1488085,1482249,1463721,1426466,1414994,1405269,1384559,1388264,1393182,1389515,1408306,1437286
46,women,1274963,1292313,1310498,1329849,1345981,1357878,1367872,1378506,1387961,1406633,1439746,1481777,1521712,1561153,1597576,1628487,1654595,1680149,1705249,1721788,1726493,1722809,1718166,1711780,1704182,1696456,1688773,1678457,1664160,1656990,1661711,1672712,1681410,1691490,1687271,1660737,1620089,1587890,1525830,1500366,1485174,1479363,1460891,1423719,1412286,1402598,1381949,1385668,1390594,1386951,1405727
47,women,1249503,1270779,1288162,1306378,1325758,1341927,1353880,1363961,1374685,1384189,1402857,1435922,1477892,1517763,1557157,1593544,1624448,1650547,1676100,1701190,1717752,1722495,1718865,1714279,1707954,1700412,1692746,1685116,1674860,1660626,1653502,1658245,1669253,1677959,1688046,1683859,1657400,1616858,1584748,1522830,1497427,1482286,1476508,1458082,1420993,1409601,1399947,1379357,1383087,1388027,1384401
48,women,1218731,1245404,1266711,1284122,1302367,1321772,1337975,1350019,1360189,1370950,1380475,1399140,1432159,1474069,1513883,1553237,1589586,1620474,1646565,1672118,1697203,1713778,1718559,1714977,1710448,1704179,1696695,1689082,1681505,1671304,1657134,1650055,1654817,1665830,1674545,1684635,1680483,1654098,1613660,1581635,1519855,1494514,1479423,1473675,1455293,1418283,1406936,1397314,1376781,1380522,1385472
49,women,1184150,1214744,1241420,1262748,1280184,1298457,1317891,1334164,1346290,1356498,1367280,1376825,1395486,1428459,1470304,1510077,1549389,1585705,1616575,1642655,1668194,1693280,1709868,1714679,1711146,1706673,1700455,1693025,1685465,1677943,1667794,1653679,1646652,1651430,1662442,1671165,1681259,1677138,1650822,1610492,1578553,1516912,1491625,1476581,1470859,1452524,1415596,1404285,1394705,1374228,1377980
50,women,1148924,1179366,1209945,1236624,1257973,1275441,1293739,1313206,1329550,1341724,1351961,1362770,1372347,1391001,1423934,1465712,1505428,1544682,1580947,1611789,1637857,1663376,1688453,1705053,1709897,1706427,1702010,1695859,1688485,1680985,1673531,1663441,1649395,1642420,1647221,1658240,1666963,1677057,1672977,1646741,1606538,1574702,1513229,1488017,1473028,1467336,1449060,1412237,1400967,1391428,1371020
51,women,1112663,1143385,1173811,1204369,1231040,1252401,1269903,1288247,1307742,1324113,1336326,1346603,1357444,1367060,1385715,1418602,1460296,1499939,1539126,1575333,1606133,1632177,1657676,1682733,1699341,1704222,1700820,1696466,1690389,1683087,1675652,1668272,1658254,1644291,1637371,1642193,1653210,1661937,1672032,1667997,1641866,1601804,1570092,1508816,1483686,1468763,1463108,1444904,1408201,1396987,1387494
52,women,1075667,1107306,1138000,1168398,1198939,1225602,1246970,1264515,1282897,1302399,1318785,1331032,1341352,1352220,1361875,1380532,1413369,1454979,1494552,1533666,1569811,1600570,1626592,1652064,1677104,1693709,1698631,1695294,1691000,1684990,1677759,1670391,1663081,1653128,1639244,1632379,1637220,1648238,1656963,1667054,1663055,1637029,1597111,1565521,1504438,1479396,1464535,1458917,1440776,1404193,1393033
53,women,1038471,1070489,1102090,1132760,1163126,1193643,1220298,1241692,1259276,1277673,1297172,1313566,1325844,1336196,1347095,1356789,1375446,1408233,1449761,1489252,1528296,1564384,1595096,1621091,1646534,1671552,1688157,1693112,1689839,1685603,1679658,1672494,1665185,1657943,1648061,1634252,1627443,1632295,1643315,1652038,1662126,1658162,1632236,1592457,1560990,1500090,1475134,1460338,1454763,1436681,1400212
54,women,1001046,1033471,1065452,1097018,1127660,1157990,1188481,1215138,1236550,1254152,1272552,1292050,1308451,1320759,1331141,1342070,1351798,1370458,1403189,1444629,1484047,1523014,1559037,1589711,1615669,1641084,1666074,1682682,1687672,1684450,1680269,1674387,1667290,1660045,1652859,1643047,1629306,1622551,1627421,1638432,1647155,1657243,1653309,1627484,1587839,1556494,1495785,1470907,1456172,1450631,1432614
55,women,962857,995127,1027489,1059420,1090938,1121541,1151827,1182284,1208941,1230345,1247961,1266357,1285845,1302251,1314588,1325009,1335975,1345736,1364386,1397055,1438379,1477703,1516573,1552507,1583127,1609043,1634419,1659373,1675971,1680996,1677839,1673730,1667915,1660894,1653727,1646610,1636878,1623219,1616527,1621413,1632413,1641133,1651213,1647321,1621617,1582136,1550934,1490459,1465682,1451024,1445521
56,women,924067,956066,988270,1020563,1052424,1083875,1114430,1144675,1175082,1201708,1223096,1240715,1259109,1278585,1294995,1307363,1317825,1328826,1338628,1357265,1389842,1431027,1470239,1508992,1544822,1575360,1601228,1626550,1651460,1668046,1673110,1670023,1665994,1660260,1653320,1646238,1639199,1629558,1615997,1609378,1614279,1625269,1633981,1644048,1640209,1614642,1575358,1544325,1484124,1459461,1444889
57,women,885741,917556,949476,981602,1013821,1045617,1077001,1107507,1137716,1168062,1194640,1216008,1233630,1252007,1271476,1287890,1300286,1310783,1321814,1331649,1350275,1382762,1423808,1462895,1501532,1537262,1567713,1593532,1618801,1643659,1660223,1665330,1662315,1658354,1652698,1645837,1638837,1631873,1622320,1608860,1602305,1607217,1618194,1626902,1636952,1633160,1607730,1568642,1537775,1477847,1453295
58,women,848371,879493,911229,943070,975125,1007263,1038987,1070318,1100773,1130919,1161198,1187728,1209068,1226688,1245056,1264511,1280922,1293349,1303873,1314927,1324793,1343402,1375796,1416705,1455672,1494185,1529809,1560185,1585943,1611156,1635965,1652505,1657651,1654703,1650807,1645226,1638445,1631520,1624628,1615158,1601797,1595305,1600228,1611192,1619895,1629922,1626174,1600881,1561979,1531276,1471621
59,women,811707,842391,873426,905082,936842,968823,1000880,1032546,1063818,1094206,1124281,1154491,1180967,1202278,1219887,1238247,1257687,1274094,1286545,1297092,1308169,1318060,1336648,1368949,1409718,1448558,1486950,1522466,1552766,1578461,1603616,1628366,1644889,1650067,1647185,1643356,1637837,1631132,1624279,1617460,1608077,1594799,1588375,1593309,1604254,1612949,1622962,1619252,1594093,1555376,1524831
60,women,775412,804620,835191,866117,897662,929313,961194,993152,1024733,1055906,1086195,1116174,1146287,1172692,1193970,1211563,1229905,1249316,1265707,1278176,1288744,1299844,1309753,1328302,1360484,1401084,1439756,1477992,1513367,1543559,1569169,1594251,1618928,1635416,1640621,1637814,1634062,1628624,1622008,1615241,1608500,1599223,1586048,1579696,1584647,1595564,1604238,1614235,1610568,1585577,1547091
61,women,740045,767292,796372,826807,857594,889009,920516,952280,984121,1015569,1046613,1076777,1106637,1136635,1162947,1184179,1201747,1220054,1239422,1255793,1268269,1278859,1289975,1299905,1318408,1350437,1390824,1429292,1467335,1502530,1532595,1558107,1583084,1607668,1624109,1629343,1626623,1622951,1617610,1611090,1604428,1597779,1588614,1575574,1569303,1574261,1585151,1593799,1603765,1600150,1575351
62,women,703981,732303,759433,788382,818675,849317,880603,911984,943622,975327,1006636,1037550,1067587,1097322,1127197,1153419,1174596,1192141,1210406,1229730,1246073,1258554,1269163,1280282,1290226,1308681,1340556,1380728,1418992,1456852,1491868,1521794,1547206,1572072,1596560,1612958,1618216,1615576,1611981,1606738,1600303,1593744,1587186,1578121,1565213,1559026,1563988,1574841,1583465,1593403,1589839
63,women,666522,696614,724798,751810,780628,810779,841282,872437,903688,935193,966750,997917,1028702,1058606,1088224,1117978,1144105,1165216,1182735,1200958,1220231,1236541,1249021,1259643,1270769,1280718,1299120,1330839,1370796,1408855,1446524,1481365,1511155,1536457,1561217,1585608,1601958,1607233,1604667,1601150,1595995,1589645,1583183,1576714,1567752,1554974,1548865,1553829,1564641,1573238,1583146
64,women,628820,659537,689473,717519,744414,773099,803112,833482,864512,895612,926971,958378,989407,1020056,1049829,1079325,1108957,1134988,1156037,1173516,1191696,1210919,1227191,1239662,1250290,1261424,1271375,1289714,1321277,1361018,1398878,1436352,1471014,1500668,1525858,1550512,1574802,1591103,1596398,1593900,1590454,1585383,1579120,1572742,1566365,1557499,1544844,1538809,1543776,1554550,1563116
65,women,592109,620449,650945,680674,708539,735277,763784,793617,823808,854653,885558,916729,947939,978785,1009255,1038861,1068195,1097664,1123562,1144525,1161952,1180060,1199207,1215430,1227886,1238511,1249645,1259589,1277851,1309214,1348675,1386277,1423493,1457926,1487393,1512444,1536957,1561109,1577339,1582655,1580239,1576880,1571909,1565758,1559482,1553217,1544471,1531966,1526020,1530987,1541710
66,women,555425,582497,610585,640808,670284,697927,724464,752762,782364,812318,842930,873594,904529,935503,966121,996373,1025771,1054902,1084166,1109897,1130747,1148101,1166124,1185174,1201324,1213759,1224369,1235492,1245425,1263588,1294695,1333815,1371105,1408007,1442163,1471399,1496276,1520617,1544597,1560737,1566069,1563747,1560494,1555636,1549611,1543462,1537320,1528714,1516393,1510549,1515515
67,women,523859,546402,573230,601067,631020,660244,687669,714003,742091,771460,801170,831542,861969,892663,923403,953793,983821,1013008,1041934,1070990,1096551,1117287,1134563,1152492,1171438,1187518,1199923,1210517,1221619,1231538,1249597,1280453,1319230,1356204,1392792,1426671,1455677,1480373,1504543,1528350,1544399,1549745,1547506,1544356,1539606,1533704,1527674,1521656,1513181,1501035,1495296
68,women,499841,515341,537710,564296,591885,621564,650535,677747,703884,731744,760876,790349,820479,850667,881117,911629,941788,971594,1000566,1029279,1058123,1083516,1104135,1121323,1139163,1157994,1173996,1186367,1196941,1208015,1217921,1235865,1266470,1304909,1341565,1377845,1411442,1440224,1464737,1488725,1512359,1528311,1533675,1531519,1528458,1523814,1518028,1512107,1506210,1497869,1485890
69,women,480756,491719,507135,529328,555669,583018,612420,641147,668144,694079,721710,750601,779837,809724,839671,869881,900159,930087,959667,988423,1016923,1045555,1070773,1091273,1108367,1126113,1144828,1160745,1173075,1183630,1194673,1204557,1222388,1252736,1290842,1327177,1363152,1396465,1425018,1449348,1473156,1496617,1512470,1517843,1515766,1512790,1508250,1502576,1496765,1490975,1482766
70,women,461864,470722,481653,496952,518907,544933,571964,601017,629419,656117,681773,709101,737674,766591,796161,825791,855684,885643,915264,944546,973010,1001229,1029575,1054548,1074877,1091845,1109450,1128004,1143808,1156068,1166584,1177574,1187424,1205093,1235108,1272775,1308689,1344253,1377195,1405443,1429528,1453098,1476327,1492039,1497420,1495437,1492562,1488140,1482605,1476933,1471276
71,women,444472,450015,458879,469764,484909,506565,532204,558839,587462,615451,641779,667096,694046,722230,750748,779917,809152,838652,868219,897449,926358,954454,982315,1010308,1034982,1055089,1071886,1089311,1107662,1123310,1135475,1145936,1156848,1166641,1184107,1213714,1250830,1286231,1321288,1353767,1381640,1405417,1428691,1451632,1467169,1472543,1470661,1467905,1463625,1458255,1452748
72,women,424512,433076,438701,447557,458381,473368,494729,519994,546238,574430,602002,627959,652940,679507,707305,735436,764210,793057,822161,851333,880177,908712,936441,963944,991578,1015954,1035840,1052462,1069698,1087846,1103336,1115403,1125796,1136624,1146359,1163616,1192815,1229389,1264282,1298840,1330860,1358360,1381830,1404809,1427455,1442817,1448182,1446397,1443755,1439602,1434386
73,women,399586,413630,422189,427877,436717,447477,462301,483369,508264,534118,561881,589046,614634,639277,665469,692883,720627,749006,777464,806174,834957,863415,891580,918946,946093,973368,997443,1017096,1033543,1050590,1068524,1083858,1095826,1106147,1116887,1126557,1143609,1172399,1208436,1242822,1276885,1308449,1335578,1358739,1381424,1403784,1418966,1424312,1422619,1420090,1416064
74,women,371790,389346,403230,411776,417515,426327,437019,451684,472459,496975,522450,549789,576554,601769,626080,651907,678938,706294,734279,762352,790670,819064,847137,874933,901938,928729,955649,979420,998848,1015110,1031969,1049689,1064857,1076718,1086960,1097612,1107208,1124053,1152434,1187948,1221834,1255407,1286521,1313280,1336136,1358526,1380597,1395604,1400921,1399314,1396889
75,women,345378,359538,376748,390418,398928,404721,413481,424069,438521,458920,482943,507920,534718,560976,585718,609592,634950,661486,688349,715827,743397,771213,799101,826677,853990,880528,906860,933316,956691,975820,991845,1008456,1025896,1040849,1052568,1062706,1073233,1082724,1099309,1127164,1161998,1195247,1228188,1258729,1285010,1307476,1329482,1351176,1365951,1371233,1369737
76,women,319231,331343,345198,361991,375400,383843,389681,398374,408824,422993,442928,466368,490738,516879,542510,566686,590031,614820,640747,667008,693870,720826,748028,775303,802275,828995,854959,880730,906618,929514,948275,964005,980311,997405,1012091,1023630,1033632,1044008,1053363,1069624,1096852,1130861,1163338,1195513,1225356,1251051,1273043,1294578,1315818,1330309,1335539
77,women,295403,306274,318142,331689,348068,361212,369582,375441,384049,394354,408249,427722,450585,474365,499868,524889,548503,571324,595555,620886,646556,672811,699160,725759,752432,778803,804942,830346,855557,880888,903305,921700,937134,953133,969886,984301,995656,1005511,1015728,1024948,1040882,1067490,1100696,1132414,1163845,1193002,1218118,1239644,1260719,1281506,1295714
78,women,275263,283420,294079,305698,318944,334919,347797,356082,361949,370460,380612,394227,413247,435551,458751,483629,508055,531123,553424,577106,601848,626935,652593,678351,704353,730436,756221,781777,806633,831299,856077,878020,896048,911186,926873,943293,957432,968600,978306,988362,997442,1013054,1039052,1071471,1102450,1133142,1161631,1186183,1207243,1227863,1248201
79,women,257509,264102,272148,282590,293963,306907,322486,335095,343285,349151,357552,367546,380887,399453,421218,443849,468116,491953,514487,536279,559423,583592,608109,633180,658358,683769,709268,734483,759467,783775,807904,832144,853617,871277,886124,901502,917586,931449,942429,951979,961871,970806,986096,1011499,1043144,1073402,1103369,1131205,1155203,1175798,1195977
80,women,239258,243919,250425,258314,268473,279525,292077,307159,319416,327472,333307,341562,351339,364324,382308,403381,425294,448786,471875,493725,514862,537315,560754,584536,608861,633297,657953,682704,707178,731439,755046,778475,802019,822895,840078,854543,869523,885176,898680,909415,918758,928432,937176,952056,976697,1007361,1036694,1065743,1092732,1116024,1136030
81,women,220819,223506,228173,234561,242249,252057,262717,274796,289273,301098,308974,314760,322827,332334,344888,362174,382407,403460,426016,448204,469230,489583,511201,533762,556655,580074,603613,627362,651208,674791,698175,720934,743525,766226,786372,802984,816983,831468,846597,859664,870097,879188,888591,897100,911477,935198,964687,992902,1020853,1046832,1069268
82,women,202484,206284,209076,213721,219974,227451,236917,247184,258810,272697,284105,291789,297501,305371,314597,326727,343347,362769,382989,404649,425972,446202,465792,486601,508315,530353,552898,575568,598442,621406,644127,666660,688599,710371,732263,751693,767745,781286,795293,809909,822546,832671,841512,850638,858915,872800,895632,923990,951127,978019,1003024
83,women,184031,189159,192970,195838,200435,206545,213799,222932,232812,243994,257313,268307,275792,281419,289084,298032,309745,325717,344364,363782,384581,405070,424527,443388,463413,484306,505518,527220,549049,571080,593190,615078,636782,657931,678910,700011,718749,734254,747344,760880,774991,787213,797030,805618,814478,822514,835921,857893,885162,911265,937131
84,women,165224,171915,176950,180752,183666,188199,194160,201184,209985,219495,230240,243015,253606,260886,266418,273866,282538,293845,309193,327096,345745,365710,385402,404110,422263,441534,461636,482053,502941,523951,545165,566455,587537,608437,628819,649035,669366,687438,702404,715057,728133,741753,753562,763079,771413,780008,787802,800744,821892,848106,873208
85,women,145834,151275,157679,162570,166332,169275,173704,179460,186197,194575,203624,213824,225927,236009,243024,248421,255589,263907,274694,289267,306247,323938,342879,361576,379360,396632,414967,434085,453511,473391,493388,513583,533851,553935,573838,593259,612532,631908,649152,663449,675554,688054,701069,712363,721500,729518,737771,745269,757628,777752,802675
86,women,125634,130554,135737,141790,146486,150171,153116,157402,162895,169281,177160,185660,195227,206539,216020,222709,227923,234753,242642,252819,266478,282375,298944,316682,334213,350914,367153,384385,402353,420610,439305,458112,477111,496175,515084,533825,552114,570268,588524,604792,618304,629765,641584,653886,664579,673258,680899,688743,695887,707567,726489
87,women,104386,112473,117140,122058,127765,132256,135837,138748,142875,148101,154143,161546,169517,178484,189061,197967,204330,209344,215852,223316,232910,245718,260594,276114,292722,309156,324834,340102,356294,373177,390338,407911,425587,443462,461396,479190,496831,514056,531155,548347,563694,576451,587291,598460,610081,620199,628435,635708,643158,649953,660987
88,women,81874,93451,100918,105333,109986,115354,119633,123091,125943,129901,134861,140565,147518,154992,163391,173273,181632,187680,192487,198673,205734,214765,226775,240698,255229,270783,286190,300906,315256,330468,346328,362458,378979,395595,412401,429269,446008,462612,478824,494929,511114,525582,537626,547874,558424,569392,578960,586775,593688,600758,607215
89,women,57857,73301,83849,90744,94909,99305,104346,108411,111736,114506,118290,122989,128364,134886,141889,149756,158993,166836,172569,177168,183035,189709,198204,209464,222502,236111,250677,265122,278931,292416,306705,321603,336761,352281,367906,383706,399567,415310,430933,446199,461359,476596,490228,501592,511276,521237,531589,540627,548031,554598,561305
90,women,299377,303275,320960,346041,374235,402722,431711,461744,491843,521388,549987,578698,608342,639404,672708,708377,746862,789019,833124,877075,919928,962997,1007016,1053519,1104693,1161569,1223950,1292026,1365005,1441733,1521483,1604650,1691387,1781513,1874969,1971456,2070785,2172676,2276714,2382536,2489591,2597630,2706598,2814921,2920605,3022439,3121128,3217393,3310325,3398853,3482771
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
